Mapa,Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Time1,Score_T1,Time2,Score_T2,target,Impacto_Ofensivo,Impacto_Suporte,Impacto_Geral
AllMaps,bang,100T,Viper,0.86,157.0,28,36,12,-8,67.0,100.0,24.0,4.0,7.0,-3.0,100T,28,EG,24,1,0.516,0.344,0.859
AllMaps,dgzin,EG,Neon,1.23,257.0,51,34,5,17,73.0,174.0,30.0,13.0,9.0,4.0,100T,28,EG,24,0,0.809,0.391,1.201
AllMaps,Okeanos,EG,Omen,0.98,188.0,35,34,16,1,67.0,115.0,34.0,5.0,3.0,2.0,100T,28,EG,24,0,0.656,0.395,1.051
AllMaps,supamen,EG,Viper,0.92,175.0,31,35,17,-4,73.0,118.0,39.0,3.0,4.0,-1.0,100T,28,EG,24,0,0.576,0.373,0.949
AllMaps,C0M,EG,Sova,0.89,163.0,31,33,14,-2,63.0,101.0,22.0,5.0,4.0,1.0,100T,28,EG,24,0,0.564,0.37,0.935
AllMaps,bao,EG,Killjoy,0.87,169.0,27,34,19,-7,75.0,124.0,32.0,1.0,5.0,-4.0,100T,28,EG,24,0,0.518,0.358,0.877
AllMaps,v1c,C9,Viper,1.66,259.0,39,14,12,25,89.0,167.0,37.0,2.0,2.0,0.0,C9,26,LEV,12,1,0.824,0.467,1.291
AllMaps,OXY,C9,Chamber,1.24,252.0,34,24,5,10,68.0,154.0,11.0,12.0,4.0,8.0,C9,26,LEV,12,1,0.765,0.384,1.149
AllMaps,Zellsis,C9,Brimstone,1.16,216.0,31,22,14,9,68.0,127.0,28.0,3.0,3.0,0.0,C9,26,LEV,12,1,0.749,0.399,1.148
AllMaps,penny,C9,Raze,0.89,169.0,23,23,14,0,68.0,119.0,23.0,5.0,6.0,-1.0,C9,26,LEV,12,1,0.61,0.361,0.972
AllMaps,Xeppaa,C9,Skye,0.87,147.0,18,22,15,-4,76.0,101.0,16.0,0.0,1.0,-1.0,C9,26,LEV,12,1,0.471,0.382,0.853
AllMaps,kiNgg,LEV,Brimstone,1.15,204.0,28,27,4,1,61.0,130.0,28.0,3.0,1.0,2.0,C9,26,LEV,12,0,0.684,0.357,1.041
AllMaps,Neon,LEV,Yoru,1.01,202.0,26,28,5,-2,74.0,142.0,28.0,6.0,6.0,0.0,C9,26,LEV,12,0,0.631,0.348,0.979
